"TOA5","DOW7_MESO","CR1000","23380","CR1000.Std.16","CPU:MESO_PROGRAM_20150527.CR1","6359","All"
"TIMESTAMP","RECORD","Last_Clock_Sync.","#_Clock_Syncs.","Temperature","Rel._Humid.","Blade_Wind_Spd.","Blade_Wind_Dir.","Barometer","GPS_Lat._Deg","GPS_Lat._Min","GPS_Long._Deg","GPS_Long._Min","GPS_Altitude","GPS_Speed","GPS_Course","GPS_DOP","GPS_Fix_Qual.","GPS_#_of_Sats."
"TS","RN","ms","","deg C","%","m/s","deg","mbar","deg","min","deg","min","m","knts","deg","m","","SV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-12 03:00:00",682400,0,0,13.22,22.28,1.96,311.5,973.5437,47,56.979,-97,-10.5279,2485,0,0,1.1,1,6
"2020-02-12 03:00:01",682401,0,0,13.18,22.31,1.96,312.1,972.9643,47,56.9786,-97,-10.527,2495,0,0,1.1,1,6
"2020-02-12 03:00:02",682402,-70,1,13.25,22.31,1.649,315.4,973.4609,47,56.9789,-97,-10.5261,2505,0,0,1.1,1,6
"2020-02-12 03:00:03",682403,-70,1,13.22,22.35,1.372,328.3,973.7092,47,56.9788,-97,-10.5263,2505,0,0,1.1,1,6
"2020-02-12 03:00:04",682404,-70,1,13.22,22.31,1.078,343,973.7092,47,56.9784,-97,-10.5264,2525,0,0,1.1,1,6
"2020-02-12 03:00:05",682405,-70,1,13.22,22.38,0.882,342.2,973.7092,47,56.9775,-97,-10.5268,2545,0,0,1.1,1,6
"2020-02-12 03:00:06",682406,-70,1,13.11,22.31,0.49,349.6,973.3782,47,56.9772,-97,-10.5272,2545,0,0,1.1,1,6
"2020-02-12 03:00:07",682407,-70,1,13.18,22.35,0.196,14.86,972.9643,47,56.977,-97,-10.5271,2555,0,0,1.1,1,7
"2020-02-12 03:00:08",682408,-70,1,13.25,22.35,0.196,23.02,973.4609,47,56.9765,-97,-10.5266,2565,0,0,1.1,1,7
"2020-02-12 03:00:09",682409,-70,1,13.18,22.35,0.294,347.4,973.6265,47,56.9764,-97,-10.5269,2575,0,0,1.1,1,7
"2020-02-12 03:00:10",682410,-70,1,13.15,22.42,0.392,346,973.2126,47,56.9763,-97,-10.5268,2565,0,0,1.1,1,7
"2020-02-12 03:00:11",682411,-70,1,13.15,22.42,0.294,13.26,973.6265,47,56.9761,-97,-10.5268,2565,0,0,1.1,1,6
"2020-02-12 03:00:12",682412,-70,1,13.15,22.38,0.294,86,973.6265,47,56.9762,-97,-10.5265,2565,0,0,1.1,1,6
"2020-02-12 03:00:13",682413,-70,1,13.15,22.45,0.686,100.2,973.6265,47,56.9763,-97,-10.5264,2555,0,0,1.1,1,6
"2020-02-12 03:00:14",682414,-70,1,13.15,22.49,1.274,61.6,973.2954,47,56.9761,-97,-10.5268,2555,0,0,1.1,1,7
"2020-02-12 03:00:15",682415,-70,1,13.04,22.49,1.666,42.64,972.9643,47,56.976,-97,-10.527,2555,0,0,1.1,1,7
"2020-02-12 03:00:16",682416,-70,1,13.11,22.49,1.274,344.2,973.6265,47,56.9758,-97,-10.5268,2545,0,0,1.1,1,7
"2020-02-12 03:00:17",682417,-70,1,13.11,22.45,1.666,296.8,973.5437,47,56.9755,-97,-10.5269,2555,0,0,1.1,1,7
"2020-02-12 03:00:18",682418,-70,1,13.08,22.52,2.156,309.4,973.792,47,56.9754,-97,-10.5267,2555,0,0,1.1,1,7
"2020-02-12 03:00:19",682419,-70,1,13.11,22.49,2.94,307.8,973.7092,47,56.9752,-97,-10.5266,2565,0,0,1.1,1,7
"2020-02-12 03:00:20",682420,-70,1,13.08,22.52,3.332,295.9,973.792,47,56.975,-97,-10.5269,2565,0,0,1.1,1,7
"2020-02-12 03:00:21",682421,-70,1,13.11,22.49,3.822,321.9,973.6265,47,56.9746,-97,-10.5273,2575,0,0,1.1,1,7
"2020-02-12 03:00:22",682422,-70,1,13.04,22.52,4.41,319.7,973.2954,47,56.9744,-97,-10.5276,2585,0,0,1.1,1,7
"2020-02-12 03:00:23",682423,-70,1,13.04,22.56,3.332,303.8,972.9643,47,56.9744,-97,-10.5276,2585,0,0,1.1,1,7
"2020-02-12 03:00:24",682424,-70,1,13.08,22.52,2.058,311.6,973.4609,47,56.9743,-97,-10.5278,2585,0,0,1.1,1,7
"2020-02-12 03:00:25",682425,-70,1,13.08,22.52,2.058,305.4,973.4609,47,56.9743,-97,-10.5278,2585,0,0,1.1,1,7
"2020-02-12 03:00:26",682426,-70,1,13.01,22.56,2.548,323.2,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:27",682427,-70,1,13.01,22.42,2.352,320.9,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:28",682428,-70,1,13.04,22.42,2.94,321.3,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:29",682429,-70,1,13.04,22.45,4.312,319.1,973.1298,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:30",682430,-70,1,12.97,22.45,4.508,324.5,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:31",682431,-70,1,13.08,22.45,3.92,329.7,973.1298,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:32",682432,-70,1,13.04,22.49,3.43,319,973.6265,47,56.9743,-97,-10.5277,2585,0,0,0.9,1,9
"2020-02-12 03:00:33",682433,-70,1,13.08,22.52,3.528,314.6,973.4609,47,56.9743,-97,-10.5277,2585,0,0,0.9,1,9
"2020-02-12 03:00:34",682434,-70,1,13.01,22.45,3.234,313.8,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:35",682435,-70,1,12.97,22.52,3.038,320.5,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:36",682436,-70,1,12.94,22.59,2.842,315.1,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:37",682437,-70,1,12.94,22.59,2.744,279.4,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:38",682438,-70,1,12.94,22.62,3.038,295.7,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:39",682439,-70,1,12.94,22.66,2.842,300.6,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:40",682440,-70,1,12.97,22.66,3.038,305.4,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:41",682441,-70,1,12.94,22.62,3.626,321.7,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:42",682442,-70,1,12.97,22.66,4.018,308.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:43",682443,-70,1,12.87,22.73,4.508,321.3,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:44",682444,-70,1,12.8,22.69,4.508,306.9,973.1298,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:45",682445,-70,1,12.94,22.8,4.606,283.4,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:46",682446,-70,1,12.84,22.69,3.92,309.8,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:47",682447,-70,1,12.87,22.69,3.822,302.1,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:48",682448,-70,1,12.87,22.73,3.528,322.8,973.7092,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:00:49",682449,-70,1,12.84,22.76,2.352,340.2,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:50",682450,-70,1,12.84,22.66,1.862,351.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:51",682451,-70,1,12.87,22.73,1.764,2.234,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:52",682452,-70,1,12.8,22.76,1.47,21.46,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:53",682453,-70,1,12.77,22.83,1.47,343.8,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:54",682454,-70,1,12.73,22.8,1.47,327.4,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:55",682455,-70,1,12.73,22.83,1.47,276.2,973.0471,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:56",682456,-70,1,12.77,22.83,1.372,278.7,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:57",682457,-70,1,12.8,22.87,1.176,323.3,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:58",682458,-70,1,12.84,22.9,1.176,316.8,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:00:59",682459,-70,1,12.73,22.9,1.372,283.8,973.3782,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:00",682460,-70,1,12.7,22.9,1.372,317.2,973.5437,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:01",682461,-70,1,12.77,22.97,1.568,321.5,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:02",682462,-70,1,12.66,23,1.47,292.7,973.3782,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:03",682463,-70,1,12.73,23.04,1.96,265.4,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:04",682464,-70,1,12.66,23.04,2.352,282,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:05",682465,-70,1,12.7,23.07,2.352,304.4,973.5437,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:06",682466,-70,1,12.66,23.07,2.744,317.6,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:07",682467,-70,1,12.7,23.11,2.842,295.8,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:08",682468,-70,1,12.6,23.18,2.254,285.6,973.1298,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:09",682469,-70,1,12.6,23.07,1.96,301.2,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:10",682470,-70,1,12.6,23.04,2.842,323.7,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:11",682471,-70,1,12.6,23.07,3.528,323.1,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:12",682472,-70,1,12.56,23.07,3.332,315.6,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:13",682473,-70,1,12.6,23.11,2.94,281,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:14",682474,-70,1,12.6,23.21,3.038,267.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:15",682475,-70,1,12.6,23.25,2.744,305.3,973.5437,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:16",682476,-70,1,12.56,23.28,2.646,286.7,973.0471,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:17",682477,-70,1,12.53,23.25,3.43,274,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:18",682478,-70,1,12.53,23.25,4.116,287.6,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:19",682479,-70,1,12.53,23.25,4.214,310.1,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:20",682480,-70,1,12.49,23.31,4.508,307.7,973.3782,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:21",682481,-70,1,12.46,23.25,4.41,304.6,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:22",682482,-70,1,12.49,23.25,3.626,300.1,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:23",682483,-70,1,12.53,23.28,3.234,302.6,973.792,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:24",682484,-70,1,12.46,23.25,3.038,256.8,973.0471,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:25",682485,-70,1,12.46,23.28,3.038,309.7,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:26",682486,-70,1,12.56,23.28,3.626,294,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:27",682487,-70,1,12.42,23.25,3.92,308.6,973.2126,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:28",682488,-70,1,12.46,23.35,3.528,299.5,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:29",682489,-70,1,12.39,23.38,3.43,296.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:30",682490,-70,1,12.35,23.35,2.94,285.8,973.5437,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:31",682491,-70,1,12.39,23.38,2.352,294,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:32",682492,-70,1,12.39,23.35,1.764,283.4,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:33",682493,-70,1,12.39,23.42,1.862,291.6,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:34",682494,-70,1,12.32,23.49,2.45,309.3,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:35",682495,-70,1,12.32,23.45,2.744,297.8,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:36",682496,-70,1,12.39,23.49,2.744,290.5,973.7092,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:37",682497,-70,1,12.32,23.49,3.038,283,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:38",682498,-70,1,12.25,23.52,2.94,294.2,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:39",682499,-70,1,12.32,23.56,2.744,300.5,973.1298,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:40",682500,-70,1,12.28,23.56,2.45,293.3,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:41",682501,-70,1,12.25,23.56,2.548,276.8,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:42",682502,-70,1,12.22,23.56,2.352,287,972.9643,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:43",682503,-70,1,12.22,23.59,2.352,287.8,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:44",682504,-70,1,12.28,23.56,2.156,292.9,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:45",682505,-70,1,12.18,23.62,2.156,290.5,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,8
"2020-02-12 03:01:46",682506,-70,1,12.08,23.62,2.058,232.5,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:47",682507,-70,1,12.18,23.62,1.96,284.3,973.0471,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:48",682508,-70,1,12.08,23.69,3.038,292,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:49",682509,-70,1,12.15,23.59,3.528,284.2,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:50",682510,-70,1,12.15,23.69,3.626,315.2,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:51",682511,-70,1,12.08,23.76,3.332,297.6,973.2954,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:52",682512,-70,1,12.11,23.69,3.822,296.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:53",682513,-70,1,12.11,23.76,4.018,314.4,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:54",682514,-70,1,12.11,23.9,3.92,294.6,973.4609,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:55",682515,-70,1,12.11,23.83,4.116,311.1,973.0471,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:56",682516,-70,1,12.08,23.83,4.41,313.6,972.7987,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:57",682517,-70,1,12.04,23.9,4.018,320.7,972.8815,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:58",682518,-70,1,12.04,23.83,3.724,290,973.3782,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:01:59",682519,-70,1,11.97,23.87,3.528,286.9,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:02:00",682520,-70,1,11.97,23.87,3.136,285,973.6265,47,56.9743,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:02:01",682521,-70,1,11.97,23.87,2.45,311.6,973.5437,47,56.9742,-97,-10.5277,2585,0,0,1,1,9
"2020-02-12 03:02:02",682522,-70,1,11.97,23.87,1.96,286.3,973.6265,47,56.9742,-97,-10.5276,2585,0,0,1,1,9
"2020-02-12 03:02:03",682523,-70,1,11.94,23.87,1.862,295.5,973.2126,47,56.9742,-97,-10.5276,2585,0,0,1,1,9
"2020-02-12 03:02:04",682524,-70,1,11.94,23.94,2.254,318,972.7987,47,56.9742,-97,-10.5276,2585,0,0,1,1,9
"2020-02-12 03:02:05",682525,-70,1,11.97,23.97,2.94,316.5,972.7987,47,56.9742,-97,-10.5276,2585,0,0,1,1,9
"2020-02-12 03:02:06",682526,-70,1,11.97,23.94,2.744,314.9,973.2126,47,56.9742,-97,-10.5276,2585,0,0,1,1,9
