time,temp,rh,wind,winddir,pressure
2/12/2020 3:00,13.22,22.28,1.96,311.5,973.5437
2/12/2020 3:00,13.18,22.31,1.96,312.1,972.9643
2/12/2020 3:00,13.25,22.31,1.649,315.4,973.4609
2/12/2020 3:00,13.22,22.35,1.372,328.3,973.7092
2/12/2020 3:00,13.22,22.31,1.078,343,973.7092
2/12/2020 3:00,13.22,22.38,0.882,342.2,973.7092
2/12/2020 3:00,13.11,22.31,0.49,349.6,973.3782
2/12/2020 3:00,13.18,22.35,0.196,14.86,972.9643
2/12/2020 3:00,13.25,22.35,0.196,23.02,973.4609
2/12/2020 3:00,13.18,22.35,0.294,347.4,973.6265
2/12/2020 3:00,13.15,22.42,0.392,346,973.2126
2/12/2020 3:00,13.15,22.42,0.294,13.26,973.6265
2/12/2020 3:00,13.15,22.38,0.294,86,973.6265
2/12/2020 3:00,13.15,22.45,0.686,100.2,973.6265
2/12/2020 3:00,13.15,22.49,1.274,61.6,973.2954
2/12/2020 3:00,13.04,22.49,1.666,42.64,972.9643
2/12/2020 3:00,13.11,22.49,1.274,344.2,973.6265
2/12/2020 3:00,13.11,22.45,1.666,296.8,973.5437
2/12/2020 3:00,13.08,22.52,2.156,309.4,973.792
2/12/2020 3:00,13.11,22.49,2.94,307.8,973.7092
2/12/2020 3:00,13.08,22.52,3.332,295.9,973.792
2/12/2020 3:00,13.11,22.49,3.822,321.9,973.6265
2/12/2020 3:00,13.04,22.52,4.41,319.7,973.2954
2/12/2020 3:00,13.04,22.56,3.332,303.8,972.9643
2/12/2020 3:00,13.08,22.52,2.058,311.6,973.4609
2/12/2020 3:00,13.08,22.52,2.058,305.4,973.4609
2/12/2020 3:00,13.01,22.56,2.548,323.2,973.6265
2/12/2020 3:00,13.01,22.42,2.352,320.9,973.792
2/12/2020 3:00,13.04,22.42,2.94,321.3,973.2954
2/12/2020 3:00,13.04,22.45,4.312,319.1,973.1298
2/12/2020 3:00,12.97,22.45,4.508,324.5,973.4609
2/12/2020 3:00,13.08,22.45,3.92,329.7,973.1298
2/12/2020 3:00,13.04,22.49,3.43,319,973.6265
2/12/2020 3:00,13.08,22.52,3.528,314.6,973.4609
2/12/2020 3:00,13.01,22.45,3.234,313.8,973.6265
2/12/2020 3:00,12.97,22.52,3.038,320.5,973.792
2/12/2020 3:00,12.94,22.59,2.842,315.1,973.2126
2/12/2020 3:00,12.94,22.59,2.744,279.4,973.2954
2/12/2020 3:00,12.94,22.62,3.038,295.7,972.9643
2/12/2020 3:00,12.94,22.66,2.842,300.6,973.2126
2/12/2020 3:00,12.97,22.66,3.038,305.4,973.2126
2/12/2020 3:00,12.94,22.62,3.626,321.7,973.4609
2/12/2020 3:00,12.97,22.66,4.018,308.4,973.6265
2/12/2020 3:00,12.87,22.73,4.508,321.3,973.792
2/12/2020 3:00,12.8,22.69,4.508,306.9,973.1298
2/12/2020 3:00,12.94,22.8,4.606,283.4,973.2126
2/12/2020 3:00,12.84,22.69,3.92,309.8,972.9643
2/12/2020 3:00,12.87,22.69,3.822,302.1,973.2126
2/12/2020 3:00,12.87,22.73,3.528,322.8,973.7092
2/12/2020 3:00,12.84,22.76,2.352,340.2,973.792
2/12/2020 3:00,12.84,22.66,1.862,351.4,973.6265
2/12/2020 3:00,12.87,22.73,1.764,2.234,973.792
2/12/2020 3:00,12.8,22.76,1.47,21.46,973.2126
2/12/2020 3:00,12.77,22.83,1.47,343.8,973.2126
2/12/2020 3:00,12.73,22.8,1.47,327.4,972.9643
2/12/2020 3:00,12.73,22.83,1.47,276.2,973.0471
2/12/2020 3:00,12.77,22.83,1.372,278.7,973.792
2/12/2020 3:00,12.8,22.87,1.176,323.3,973.792
2/12/2020 3:00,12.84,22.9,1.176,316.8,973.6265
2/12/2020 3:00,12.73,22.9,1.372,283.8,973.3782
2/12/2020 3:01,12.7,22.9,1.372,317.2,973.5437
2/12/2020 3:01,12.77,22.97,1.568,321.5,973.6265
2/12/2020 3:01,12.66,23,1.47,292.7,973.3782
2/12/2020 3:01,12.73,23.04,1.96,265.4,972.9643
2/12/2020 3:01,12.66,23.04,2.352,282,973.4609
2/12/2020 3:01,12.7,23.07,2.352,304.4,973.5437
2/12/2020 3:01,12.66,23.07,2.744,317.6,973.792
2/12/2020 3:01,12.7,23.11,2.842,295.8,973.792
2/12/2020 3:01,12.6,23.18,2.254,285.6,973.1298
2/12/2020 3:01,12.6,23.07,1.96,301.2,972.7987
2/12/2020 3:01,12.6,23.04,2.842,323.7,973.2126
2/12/2020 3:01,12.6,23.07,3.528,323.1,972.7987
2/12/2020 3:01,12.56,23.07,3.332,315.6,973.2954
2/12/2020 3:01,12.6,23.11,2.94,281,973.4609
2/12/2020 3:01,12.6,23.21,3.038,267.4,973.6265
2/12/2020 3:01,12.6,23.25,2.744,305.3,973.5437
2/12/2020 3:01,12.56,23.28,2.646,286.7,973.0471
2/12/2020 3:01,12.53,23.25,3.43,274,972.8815
2/12/2020 3:01,12.53,23.25,4.116,287.6,972.8815
2/12/2020 3:01,12.53,23.25,4.214,310.1,973.2126
2/12/2020 3:01,12.49,23.31,4.508,307.7,973.3782
2/12/2020 3:01,12.46,23.25,4.41,304.6,973.4609
2/12/2020 3:01,12.49,23.25,3.626,300.1,973.6265
2/12/2020 3:01,12.53,23.28,3.234,302.6,973.792
2/12/2020 3:01,12.46,23.25,3.038,256.8,973.0471
2/12/2020 3:01,12.46,23.28,3.038,309.7,972.8815
2/12/2020 3:01,12.56,23.28,3.626,294,972.8815
2/12/2020 3:01,12.42,23.25,3.92,308.6,973.2126
2/12/2020 3:01,12.46,23.35,3.528,299.5,973.6265
2/12/2020 3:01,12.39,23.38,3.43,296.4,973.6265
2/12/2020 3:01,12.35,23.35,2.94,285.8,973.5437
2/12/2020 3:01,12.39,23.38,2.352,294,973.4609
2/12/2020 3:01,12.39,23.35,1.764,283.4,972.9643
2/12/2020 3:01,12.39,23.42,1.862,291.6,972.8815
2/12/2020 3:01,12.32,23.49,2.45,309.3,972.7987
2/12/2020 3:01,12.32,23.45,2.744,297.8,973.2954
2/12/2020 3:01,12.39,23.49,2.744,290.5,973.7092
2/12/2020 3:01,12.32,23.49,3.038,283,973.6265
2/12/2020 3:01,12.25,23.52,2.94,294.2,973.4609
2/12/2020 3:01,12.32,23.56,2.744,300.5,973.1298
2/12/2020 3:01,12.28,23.56,2.45,293.3,972.9643
2/12/2020 3:01,12.25,23.56,2.548,276.8,972.7987
2/12/2020 3:01,12.22,23.56,2.352,287,972.9643
2/12/2020 3:01,12.22,23.59,2.352,287.8,973.2954
2/12/2020 3:01,12.28,23.56,2.156,292.9,973.6265
2/12/2020 3:01,12.18,23.62,2.156,290.5,973.6265
2/12/2020 3:01,12.08,23.62,2.058,232.5,973.4609
2/12/2020 3:01,12.18,23.62,1.96,284.3,973.0471
2/12/2020 3:01,12.08,23.69,3.038,292,972.7987
2/12/2020 3:01,12.15,23.59,3.528,284.2,972.8815
2/12/2020 3:01,12.15,23.69,3.626,315.2,972.7987
2/12/2020 3:01,12.08,23.76,3.332,297.6,973.2954
2/12/2020 3:01,12.11,23.69,3.822,296.4,973.6265
2/12/2020 3:01,12.11,23.76,4.018,314.4,973.6265
2/12/2020 3:01,12.11,23.9,3.92,294.6,973.4609
2/12/2020 3:01,12.11,23.83,4.116,311.1,973.0471
2/12/2020 3:01,12.08,23.83,4.41,313.6,972.7987
2/12/2020 3:01,12.04,23.9,4.018,320.7,972.8815
2/12/2020 3:01,12.04,23.83,3.724,290,973.3782
2/12/2020 3:01,11.97,23.87,3.528,286.9,973.6265
2/12/2020 3:02,11.97,23.87,3.136,285,973.6265
2/12/2020 3:02,11.97,23.87,2.45,311.6,973.5437
2/12/2020 3:02,11.97,23.87,1.96,286.3,973.6265
2/12/2020 3:02,11.94,23.87,1.862,295.5,973.2126
2/12/2020 3:02,11.94,23.94,2.254,318,972.7987
2/12/2020 3:02,11.97,23.97,2.94,316.5,972.7987
2/12/2020 3:02,11.97,23.94,2.744,314.9,973.2126
2/12/2020 3:02,11.87,24,2.744,314.6,973.5437
2/12/2020 3:02,11.91,24.07,2.45,322.6,973.5437
2/12/2020 3:02,11.91,23.97,1.96,337.9,973.3782
2/12/2020 3:02,11.87,24.04,2.156,340,973.6265
2/12/2020 3:02,11.87,24.11,2.45,313.1,973.3782
2/12/2020 3:02,11.84,24.14,2.744,310.5,972.7987
2/12/2020 3:02,11.84,24.25,3.038,321.1,972.8815
2/12/2020 3:02,11.77,24.18,2.744,323.5,973.2126
2/12/2020 3:02,11.77,24.21,2.45,322.2,973.4609
2/12/2020 3:02,11.77,24.25,2.156,314.8,973.5437
2/12/2020 3:02,11.8,24.21,2.352,309.8,973.5437
2/12/2020 3:02,11.73,24.25,1.96,316.4,973.2126
2/12/2020 3:02,11.8,24.25,1.764,319,972.7987
2/12/2020 3:02,11.73,24.25,1.372,314.8,972.7987
2/12/2020 3:02,11.77,24.35,1.372,256,972.8815
2/12/2020 3:02,11.7,24.49,2.45,251.7,973.2954
2/12/2020 3:02,11.66,24.45,2.94,264.6,973.4609
2/12/2020 3:02,11.73,24.59,2.45,280,973.7092
2/12/2020 3:02,11.66,24.49,1.96,307.1,973.4609
2/12/2020 3:02,11.66,24.56,1.862,262.3,973.1298
2/12/2020 3:02,11.63,24.59,1.568,280.1,972.7987
2/12/2020 3:02,11.63,24.52,1.47,303.4,973.1298
2/12/2020 3:02,11.56,24.62,1.862,294,973.3782
2/12/2020 3:02,11.63,24.62,1.568,288.2,973.2954
2/12/2020 3:02,11.63,24.73,1.176,312,973.5437
2/12/2020 3:02,11.53,24.73,1.47,307.8,973.5437
2/12/2020 3:02,11.63,24.66,1.764,293.5,973.4609
2/12/2020 3:02,11.53,24.83,1.862,303.3,973.1298
2/12/2020 3:02,11.53,24.76,2.352,309.3,972.7987
2/12/2020 3:02,11.53,24.69,2.646,307.2,973.2954
2/12/2020 3:02,11.49,24.8,2.548,301.6,973.3782
2/12/2020 3:02,11.46,24.76,2.744,309.5,973.6265
2/12/2020 3:02,11.49,24.8,3.136,311.8,973.7092
2/12/2020 3:02,11.49,24.8,4.116,309.3,973.5437
2/12/2020 3:02,11.49,24.9,3.724,300.1,973.4609
2/12/2020 3:02,11.46,24.83,3.234,303.9,973.0471
2/12/2020 3:02,11.42,24.9,3.136,315,972.7987
2/12/2020 3:02,11.42,24.94,3.234,328.3,973.2954
2/12/2020 3:02,11.39,24.94,2.94,329.9,973.4609
2/12/2020 3:02,11.39,24.97,2.156,324.9,973.6265
2/12/2020 3:02,11.39,24.97,1.764,326.6,973.6265
2/12/2020 3:02,11.35,24.97,1.96,311.8,973.3782
2/12/2020 3:02,11.39,25.04,2.842,332.1,973.0471
2/12/2020 3:02,11.28,24.94,3.724,316,972.9643
2/12/2020 3:02,11.32,25.11,3.822,310.4,972.7987
2/12/2020 3:02,11.32,25.11,3.528,306.6,973.2954
2/12/2020 3:02,11.22,25.07,3.136,300.4,973.4609
2/12/2020 3:02,11.25,25.14,2.548,290,973.7092
2/12/2020 3:02,11.25,25.18,2.058,306.8,973.7092
2/12/2020 3:02,11.25,25.18,1.47,307,973.2126
2/12/2020 3:02,11.22,25.18,1.666,307.1,972.9643
2/12/2020 3:02,11.22,25.25,2.254,314.5,972.7987
2/12/2020 3:02,11.25,25.21,2.352,316.5,973.1298
2/12/2020 3:03,11.08,25.28,2.156,313.7,973.2126
2/12/2020 3:03,11.18,25.28,2.45,310.4,973.1298
2/12/2020 3:03,11.18,25.25,2.45,310.5,973.5437
2/12/2020 3:03,11.18,25.31,2.156,307.7,973.7092
2/12/2020 3:03,11.15,25.38,1.862,306.6,973.3782
2/12/2020 3:03,11.11,25.35,1.47,305,973.2126
2/12/2020 3:03,11.11,25.42,1.274,331.5,972.7987
2/12/2020 3:03,11.04,25.45,1.176,337.5,972.9643
2/12/2020 3:03,11.11,25.45,1.176,308,973.5437
2/12/2020 3:03,11.01,25.45,1.372,296.6,973.6265
2/12/2020 3:03,11.11,25.49,1.274,297.6,973.4609
2/12/2020 3:03,11.04,25.59,0.882,304.4,973.6265
2/12/2020 3:03,11.04,25.56,0.98,291.8,973.2954
2/12/2020 3:03,10.97,25.52,0.882,289,973.2126
2/12/2020 3:03,10.97,25.63,1.078,286.5,972.8815
2/12/2020 3:03,11.01,25.66,1.176,286.2,973.0471
2/12/2020 3:03,11.04,25.66,1.274,286.5,973.5437
2/12/2020 3:03,10.97,25.73,1.274,247.1,973.6265
2/12/2020 3:03,11.01,25.73,1.078,262.3,973.6265
2/12/2020 3:03,10.94,25.8,1.372,328,973.4609
2/12/2020 3:03,10.91,25.76,1.862,275.3,973.3782
2/12/2020 3:03,10.87,25.8,1.96,304.5,973.0471
2/12/2020 3:03,10.87,25.83,2.94,302.5,972.8815
2/12/2020 3:03,10.91,25.9,3.626,298.7,973.0471
2/12/2020 3:03,10.91,25.9,3.92,303.5,973.6265
2/12/2020 3:03,10.8,25.97,3.528,316.7,973.6265
2/12/2020 3:03,10.77,25.97,3.92,315.3,973.6265
2/12/2020 3:03,10.77,25.97,4.214,315.7,973.4609
2/12/2020 3:03,10.73,25.97,3.724,296.5,972.9643
2/12/2020 3:03,10.77,25.97,3.038,289.5,972.9643
2/12/2020 3:03,10.77,26.04,2.45,324,972.9643
2/12/2020 3:03,10.77,26.04,2.744,317.5,973.1298
2/12/2020 3:03,10.77,26.11,3.43,316.9,973.6265
2/12/2020 3:03,10.77,26.04,3.724,314.3,973.6265
2/12/2020 3:03,10.66,26.11,3.332,303.3,973.6265
2/12/2020 3:03,10.77,26.11,3.528,307.5,973.4609
2/12/2020 3:03,10.66,26.11,3.43,302,973.0471
2/12/2020 3:03,10.66,26.18,3.136,311.5,972.8815
2/12/2020 3:03,10.7,26.25,2.94,307.5,973.1298
2/12/2020 3:03,10.7,26.21,2.94,308.1,973.4609
2/12/2020 3:03,10.63,26.21,3.038,316.8,973.6265
2/12/2020 3:03,10.63,26.25,3.528,312.1,973.6265
2/12/2020 3:03,10.63,26.25,3.626,316.9,973.6265
2/12/2020 3:03,10.63,26.31,3.528,306.8,973.3782
2/12/2020 3:03,10.53,26.31,3.038,277.9,972.7987
2/12/2020 3:03,10.49,26.42,2.744,321.1,972.7987
2/12/2020 3:03,10.49,26.31,3.43,310.1,973.2126
2/12/2020 3:03,10.53,26.35,4.116,307.3,973.4609
2/12/2020 3:03,10.53,26.42,4.214,310,973.6265
2/12/2020 3:03,10.49,26.49,3.43,320.2,973.5437
2/12/2020 3:03,10.46,26.45,3.43,323.9,973.5437
2/12/2020 3:03,10.49,26.52,2.842,318.2,973.2954
2/12/2020 3:03,10.46,26.49,2.744,310.9,972.9643
2/12/2020 3:03,10.35,26.59,2.744,291.9,972.7987
2/12/2020 3:03,10.42,26.56,2.842,283,973.2126
2/12/2020 3:03,10.35,26.63,3.038,310.9,973.4609
2/12/2020 3:03,10.35,26.66,3.724,288.8,973.6265
2/12/2020 3:03,10.35,26.73,3.234,290.2,973.4609
2/12/2020 3:03,10.39,26.69,3.038,298.6,973.2126
2/12/2020 3:03,10.28,26.76,2.646,278.9,972.8815
2/12/2020 3:04,10.32,26.8,2.352,275.3,972.7987
2/12/2020 3:04,10.42,26.76,1.764,272.8,972.7987
2/12/2020 3:04,10.22,26.8,1.568,281.1,972.9643
2/12/2020 3:04,10.28,26.8,1.47,279.7,973.2954
2/12/2020 3:04,10.22,26.8,1.96,311.8,973.6265
2/12/2020 3:04,10.22,26.83,2.646,306.3,973.5437
2/12/2020 3:04,10.28,26.83,2.842,297.4,973.3782
2/12/2020 3:04,10.25,26.9,2.156,311.4,972.9643
2/12/2020 3:04,10.25,26.9,2.646,329,972.8815
2/12/2020 3:04,10.25,26.9,2.548,331.1,973.1298
2/12/2020 3:04,10.15,26.87,2.254,321.3,972.9643
2/12/2020 3:04,10.22,26.9,1.568,298.5,973.3782
2/12/2020 3:04,10.18,26.97,0.882,300.2,973.6265
2/12/2020 3:04,10.11,27.07,0.686,287.8,973.4609
2/12/2020 3:04,10.18,27.11,0.686,263.2,973.2954
2/12/2020 3:04,10.08,27.11,0.686,246,972.9643
2/12/2020 3:04,10.08,27.11,0.686,267.6,972.7987
