station,valid,tmpc,relh,sknt,gust
RDR,2020-02-12 00:56,-1.78,77.97,11.00,M
RDR,2020-02-12 01:56,-2.11,78.24,11.00,M
RDR,2020-02-12 02:56,-1.72,77.00,12.00,M
RDR,2020-02-12 03:56,-1.39,77.05,10.00,M
RDR,2020-02-12 04:56,-0.89,77.78,11.00,M
RDR,2020-02-12 05:06,-1.00,80.07,10.00,M
RDR,2020-02-12 05:56,-0.78,88.10,9.00,M
RDR,2020-02-12 06:56,-1.28,94.05,10.00,M
RDR,2020-02-12 07:06,-2.00,100.00,31.00,36.00
RDR,2020-02-12 07:15,-6.00,85.74,33.00,42.00
RDR,2020-02-12 07:25,-8.00,92.50,28.00,37.00
RDR,2020-02-12 07:35,-9.00,92.44,28.00,40.00
RDR,2020-02-12 07:45,-10.00,92.38,30.00,37.00
RDR,2020-02-12 07:56,-10.50,88.72,30.00,37.00
RDR,2020-02-12 08:06,-11.00,92.32,31.00,37.00
RDR,2020-02-12 08:26,-12.00,92.25,30.00,40.00
RDR,2020-02-12 08:36,-12.00,85.05,32.00,39.00
RDR,2020-02-12 08:46,-12.00,85.05,28.00,38.00
RDR,2020-02-12 08:56,-12.61,85.75,26.00,40.00
RDR,2020-02-12 09:06,-13.00,84.93,28.00,36.00
RDR,2020-02-12 09:16,-14.00,84.80,27.00,35.00
RDR,2020-02-12 09:46,-15.00,77.84,30.00,38.00
RDR,2020-02-12 09:56,-15.78,82.23,25.00,41.00
RDR,2020-02-12 10:06,-16.00,77.67,35.00,44.00
RDR,2020-02-12 10:16,-17.00,84.43,29.00,44.00
RDR,2020-02-12 10:26,-17.00,84.43,29.00,38.00
RDR,2020-02-12 10:36,-17.00,84.43,29.00,37.00
RDR,2020-02-12 10:46,-18.00,84.30,29.00,39.00
RDR,2020-02-12 10:56,-18.11,80.73,35.00,40.00
RDR,2020-02-12 11:06,-18.00,77.32,32.00,40.00
RDR,2020-02-12 11:16,-19.00,84.17,31.00,39.00
RDR,2020-02-12 11:26,-19.00,77.14,32.00,41.00
RDR,2020-02-12 11:51,-20.00,84.04,30.00,37.00
RDR,2020-02-12 11:56,-19.78,78.14,29.00,38.00
RDR,2020-02-12 12:06,-20.00,76.96,28.00,36.00
RDR,2020-02-12 12:11,-20.00,76.96,27.00,36.00
RDR,2020-02-12 12:16,-21.00,76.77,32.00,39.00
RDR,2020-02-12 12:26,-21.00,76.77,30.00,39.00
RDR,2020-02-12 12:31,-22.00,76.59,29.00,36.00
RDR,2020-02-12 12:41,-22.00,76.59,22.00,35.00
RDR,2020-02-12 12:46,-22.00,76.59,22.00,33.00
RDR,2020-02-12 12:51,-22.00,76.59,29.00,34.00
RDR,2020-02-12 12:56,-22.50,76.50,27.00,34.00
RDR,2020-02-12 13:06,-23.00,76.40,30.00,36.00
RDR,2020-02-12 13:16,-23.00,76.40,25.00,35.00
RDR,2020-02-12 13:36,-24.00,76.21,29.00,38.00
RDR,2020-02-12 13:41,-24.00,76.21,27.00,38.00
RDR,2020-02-12 13:46,-24.00,76.21,30.00,36.00
RDR,2020-02-12 13:56,-24.61,75.32,30.00,37.00
RDR,2020-02-12 14:06,-25.00,76.02,30.00,36.00
RDR,2020-02-12 14:54,-26.22,72.31,25.00,35.00
RDR,2020-02-12 15:59,-26.89,69.55,25.00,33.00
RDR,2020-02-12 16:37,-27.00,68.79,24.00,31.00
RDR,2020-02-12 16:57,-26.72,68.50,22.00,29.00
RDR,2020-02-12 17:57,-26.78,67.40,22.00,30.00
RDR,2020-02-12 18:24,-27.00,68.79,21.00,M
RDR,2020-02-12 18:57,-26.22,65.44,21.00,27.00
RDR,2020-02-12 19:21,-26.00,69.03,18.00,27.00
RDR,2020-02-12 19:57,-25.22,61.36,18.00,25.00
RDR,2020-02-12 20:56,-24.89,56.18,18.00,25.00
RDR,2020-02-12 21:24,-25.00,57.35,16.00,M
RDR,2020-02-12 22:06,-24.72,58.66,14.00,M
RDR,2020-02-12 22:56,-24.78,59.57,11.00,M
RDR,2020-02-12 23:56,-25.50,63.59,7.00,M
