station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CWWS,2020-02-12 00:00,-97.6164,52.8186,223.00,1.40,-3.30,80.13,M,M,0.00,M,1009.80,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWWS 120000Z AUTO M17/M20 RMK AO1 32 PRESRR SOG 01 3063 SLP098 T11701196 50008
CXMD,2020-02-12 00:00,-98.0839,49.1878,301.00,29.70,21.20,70.24,230.00,8.00,0.00,M,1003.80,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.00,250.00,2020-02-11 23:25,21.28,CXMD 120000Z AUTO 23008KT M01/M06 RMK AO1 SOG 08 6021 PK WND 25019/2325 SLP038 T10131060
CYWG,2020-02-12 00:00,-97.2333,49.9167,239.00,26.60,19.40,73.89,200.00,11.00,0.00,29.60,1004.10,15.00,17.00,OVC,M,M,M,12000.00,M,M,M,DRSN,M,M,M,M,M,M,15.64,CYWG 120000Z 20011G17KT 15SM DRSN OVC120 M03/M07 A2960 RMK AC8 SLP041
CWCF,2020-02-12 00:00,-97.0219,52.3597,222.00,9.50,2.70,73.37,360.00,11.00,0.00,M,1006.60,M,17.00,M,M,M,M,M,M,M,M,M,M,M,M,20.00,0.00,2020-02-11 23:19,-5.97,CWCF 120000Z AUTO 36011G17KT M13/M16 RMK AO1 PRESRR SOG 27 3046 PK WND 00020/2319 SLP066 T11251163 50004
CWEQ,2020-02-12 00:00,-101.2331,52.1150,335.00,11.80,8.20,85.14,40.00,19.00,0.00,M,1009.60,M,26.00,M,M,M,M,M,M,M,M,M,M,M,M,33.00,30.00,2020-02-11 23:22,-7.28,CWEQ 120000Z AUTO 04019G26KT M11/M13 RMK AO1 PRESRR SOG 06 3061 PK WND 03033/2322 SLP096 T11121132
CWGX,2020-02-12 00:00,-94.7000,56.3667,145.00,-27.40,-36.20,61.51,350.00,11.00,0.00,M,1015.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.00,350.00,2020-02-11 23:10,-52.60,CWGX 120000Z AUTO 35011KT M33/M38 RMK AO1 SOG 32 3039 PK WND 35020/2310 SLP150 T13301379 50002
CWII,2020-02-12 00:00,-96.5622,50.6951,220.00,25.20,19.20,77.64,230.00,7.00,0.00,M,1003.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.49,CWII 120000Z AUTO 23007KT M04/M07 RMK AO1 SLP039 T10381071 53003
CWJD,2020-02-12 00:00,-99.2678,53.1864,223.00,0.50,-9.90,60.68,20.00,9.00,0.00,M,1012.70,M,15.00,M,M,M,M,M,M,M,M,M,M,M,M,19.00,30.00,2020-02-11 23:12,-15.65,CWJD 120000Z AUTO 02009G15KT M18/M23 RMK AO1 PRESRR SOG 45 3065 PK WND 03019/2312 SLP127 T11751233
CWNK,2020-02-12 00:00,-98.0297,49.4981,268.00,28.40,22.30,77.60,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWNK 120000Z AUTO M02/M05 RMK AO1 18 T10201054
CWPO,2020-02-12 00:00,-98.9050,49.1911,470.00,27.10,21.00,77.48,220.00,11.00,0.00,M,1005.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.27,CWPO 120000Z AUTO 22011KT M03/M06 RMK AO1 SOG 18 6019 SLP057 T10271061
CXGH,2020-02-12 00:00,-96.9822,50.6311,217.00,27.30,18.00,67.60,270.00,5.00,0.00,M,1002.20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.81,CXGH 120000Z AUTO 27005KT M03/M08 RMK AO1 SLP022 T10261078 53003
CXWN,2020-02-12 00:00,-97.1296,49.8885,230.00,26.80,20.10,75.50,200.00,6.00,0.00,M,1003.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.27,CXWN 120000Z AUTO 20006KT M03/M07 RMK AO1 SLP039 T10291066 55007
CYBR,2020-02-12 00:00,-99.9519,49.9100,409.00,26.60,19.40,73.89,280.00,9.00,0.00,29.55,1003.80,15.00,M,OVC,M,M,M,9200.00,M,M,M,M,M,M,M,M,M,M,16.80,CYBR 120000Z 28009KT 15SM OVC092 M03/M07 A2955 RMK AC8 SLP038
CYDN,2020-02-12 00:00,-100.0525,51.1008,305.00,28.40,19.40,68.61,340.00,6.00,0.00,29.60,1004.40,9.00,M,OVC,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,21.19,CYDN 120000Z AUTO 34006KT 290V360 9SM OVC036 M02/M07 A2960 RMK SLP044
