station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BWP,2020-02-12 00:15,-96.6074,46.2441,294.70,28.40,21.20,74.08,180.00,9.00,0.00,29.82,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.04,KBWP 120015Z AUTO 18009KT 10SM M02/M06 A2982 RMK AO1
46D,2020-02-12 00:15,-99.1513,47.4511,489.80,30.20,23.00,74.26,220.00,20.00,0.00,29.64,M,10.00,26.00,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,16.75,K46D 120015Z AUTO 22020G26KT 10SM OVC120 M01/M05 A2964 RMK AO2
7L2,2020-02-12 00:15,-100.2456,46.2206,541.00,30.20,21.20,68.83,200.00,15.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.45,K7L2 120015Z AUTO 20015KT 10SM CLR M01/M06 A2970 RMK AO2
GAF,2020-02-12 00:15,-97.3709,48.4047,251.00,28.40,23.00,79.92,200.00,10.00,0.00,29.67,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.45,KGAF 120015Z AUTO 20010KT 9SM CLR M02/M05 A2967 RMK AO2
9D7,2020-02-12 00:15,-99.2364,48.4800,451.00,28.40,28.40,100.00,190.00,7.00,0.00,29.60,M,10.00,M,SCT,OVC,M,M,8000.00,10000.00,M,M,M,M,M,M,M,M,M,20.39,K9D7 120015Z AUTO 19007KT 10SM SCT080 OVC100 M02/M02 A2960 RMK AO2
HZE,2020-02-12 00:15,-101.5810,47.2899,552.00,33.80,23.00,64.23,250.00,7.00,0.00,29.64,M,10.00,M,FEW,SCT,BKN,M,4400.00,7500.00,9000.00,M,M,M,M,M,M,M,M,26.97,KHZE 120015Z AUTO 25007KT 10SM FEW044 SCT075 BKN090 01/M05 A2964 RMK AO2
D50,2020-02-12 00:15,-103.2973,48.9285,594.00,30.20,26.60,86.28,250.00,13.00,0.00,29.58,M,3.00,M,FEW,OVC,M,M,1000.00,2600.00,M,M,-SN,M,M,M,M,M,M,19.26,KD50 120015Z AUTO 25013KT 3SM -SN FEW010 OVC026 M01/M03 A2958 RMK AO2
D60,2020-02-12 00:15,-102.8974,48.3803,690.00,30.20,26.60,86.28,250.00,13.00,0.00,29.58,M,7.00,M,FEW,FEW,SCT,M,2400.00,2800.00,3400.00,M,M,M,M,M,M,M,M,19.26,KD60 120015Z AUTO 25013KT 7SM FEW024 FEW028 SCT034 M01/M03 A2958 RMK AO2
06D,2020-02-12 00:15,-99.6208,48.8844,555.00,28.40,19.40,68.61,220.00,10.00,0.00,29.55,M,10.00,M,BKN,OVC,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,18.45,K06D 120015Z AUTO 22010KT 10SM BKN065 OVC080 M02/M07 A2955 RMK AO2
2C8,2020-02-12 00:15,-97.6320,48.7837,272.00,28.40,21.20,74.08,220.00,12.00,0.00,29.61,M,10.00,M,FEW,OVC,M,M,8000.00,11000.00,M,M,M,M,M,M,M,M,M,17.42,K2C8 120015Z AUTO 22012KT 10SM FEW080 OVC110 M02/M06 A2961 RMK AO2
