station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MDS,2020-02-12 00:15,-97.0859,44.0160,520.80,24.80,24.80,100.00,160.00,7.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.00,KMDS 120015Z AUTO 16007KT 10SM CLR M04/M04 A2989 RMK AO2
9V9,2020-02-12 00:15,-99.3183,43.7667,509.76,36.30,25.50,64.55,180.00,9.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.86,K9V9 120015Z AUTO 18009KT 10SM CLR 02/M04 A2981 RMK AO2 T00241036
SPF,2020-02-12 00:15,-103.7830,44.4803,1186.17,35.60,10.40,34.65,290.00,4.00,0.00,29.69,M,10.00,M,SCT,BKN,BKN,M,6500.00,9000.00,11000.00,M,M,M,M,M,M,M,M,31.62,KSPF 120015Z AUTO 29004KT 10SM SCT065 BKN090 BKN110 02/M12 A2969 RMK AO2
MDS,2020-02-12 00:35,-97.0859,44.0160,520.80,24.80,24.80,100.00,170.00,8.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.24,KMDS 120035Z AUTO 17008KT 10SM CLR M04/M04 A2989 RMK AO2
9V9,2020-02-12 00:35,-99.3183,43.7667,509.76,36.30,25.20,63.75,190.00,11.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.90,K9V9 120035Z AUTO 19011KT 10SM CLR 02/M04 A2980 RMK AO2 T00241038
SPF,2020-02-12 00:35,-103.7830,44.4803,1186.17,33.80,12.20,40.32,300.00,5.00,0.00,29.69,M,10.00,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.53,KSPF 120035Z AUTO 30005G10KT 10SM 01/M11 A2969 RMK AO2
RAP,2020-02-12 00:52,-103.0574,44.0453,964.71,34.00,14.00,43.30,220.00,9.00,0.00,29.70,1009.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.00,KRAP 120052Z 22009KT 10SM CLR 01/M10 A2970 RMK AO2 SLP098 T00111100
IEN,2020-02-12 00:52,-102.5110,43.0225,1008.84,32.00,17.10,53.70,0.00,0.00,0.00,29.76,1011.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIEN 120052Z AUTO 00000KT 10SM CLR 00/M08 A2976 RMK AO2 SLP114 T00001083
MBG,2020-02-12 00:52,-100.4078,45.5464,515.17,30.90,21.00,66.34,130.00,6.00,0.00,29.68,1007.60,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,24.21,KMBG 120052Z AUTO 13006KT 10SM SCT120 M01/M06 A2968 RMK AO2 SLP076 T10061061
CUT,2020-02-12 00:53,-103.6114,43.7331,1686.81,24.10,9.00,51.98,260.00,10.00,0.00,29.68,1010.40,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.06,KCUT 120053Z AUTO 26010G18KT 10SM CLR M04/M13 A2968 RMK AO2 SLP104 T10441128
ICR,2020-02-12 00:53,-99.8422,43.3903,611.93,37.90,17.10,42.46,190.00,12.00,0.00,29.79,1010.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.51,KICR 120053Z AUTO 19012KT 10SM CLR 03/M08 A2979 RMK AO2 SLP107 T00331083
MHE,2020-02-12 00:53,-98.0386,43.7748,395.73,30.00,21.00,68.81,160.00,9.00,0.00,29.87,1013.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.03,KMHE 120053Z AUTO 16009KT 10SM CLR M01/M06 A2987 RMK AO2 SLP132 T10111061
ABR,2020-02-12 00:53,-98.4200,45.4500,395.00,27.00,19.90,74.25,170.00,17.00,0.00,29.78,1010.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.52,KABR 120053Z AUTO 17017KT 10SM CLR M03/M07 A2978 RMK AO2 SLP106 T10281067
PIR,2020-02-12 00:53,-100.2860,44.3827,522.03,35.10,17.10,47.43,210.00,7.00,0.00,29.73,1008.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.56,KPIR 120053Z AUTO 21007KT 10SM CLR 02/M08 A2973 RMK AO2 SLP089 T00171083
ATY,2020-02-12 00:53,-97.1547,44.9140,525.88,25.00,19.90,80.66,190.00,15.00,0.00,29.82,1012.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.71,KATY 120053Z AUTO 19015KT 10SM CLR M04/M07 A2982 RMK AO2 SLP129 T10391067
MDS,2020-02-12 00:55,-97.0859,44.0160,520.80,24.80,24.80,100.00,170.00,7.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.00,KMDS 120055Z AUTO 17007KT 10SM CLR M04/M04 A2988 RMK AO2
PHP,2020-02-12 00:55,-101.6000,44.0500,671.74,34.00,15.10,45.43,240.00,8.00,0.00,29.72,1008.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.58,KPHP 120055Z AUTO 24008KT 10SM CLR 01/M09 A2972 RMK AO2 SLP088 T00111094
9V9,2020-02-12 00:55,-99.3183,43.7667,509.76,35.60,25.30,65.82,180.00,11.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.02,K9V9 120055Z AUTO 18011KT 10SM CLR 02/M04 A2979 RMK AO2 T00201037
SPF,2020-02-12 00:55,-103.7830,44.4803,1186.17,32.00,14.00,46.92,310.00,7.00,0.00,29.70,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.78,KSPF 120055Z AUTO 31007KT 10SM M00/M10 A2970 RMK AO2
2WX,2020-02-12 00:56,-103.5464,45.6044,919.07,30.90,19.00,60.92,250.00,12.00,0.00,29.64,1007.80,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.60,K2WX 120056Z AUTO 25012KT M01/M07 A2964 RMK AO1 SLP078 T10061072
8D3,2020-02-12 00:56,-96.9914,45.6689,351.81,28.00,19.00,68.57,220.00,15.00,0.00,29.80,1011.70,M,23.00,M,M,M,M,M,M,M,M,M,M,M,M,29.00,220.00,2020-02-12 00:11,15.59,K8D3 120056Z AUTO 22015G23KT M02/M07 A2980 RMK AO1 PK WND 22029/0011 SLP117 T10221072
D07,2020-02-12 00:56,-102.0200,45.0300,778.50,28.00,18.00,65.69,230.00,9.00,0.00,29.69,1009.60,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.54,KD07 120056Z AUTO 23009KT M02/M08 A2969 RMK AO1 SLP096 T10221078
FSD,2020-02-12 00:56,-96.7536,43.5769,428.94,30.00,19.00,63.18,180.00,6.00,0.00,29.92,1015.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.12,KFSD 120056Z 18006KT 10SM CLR M01/M07 A2992 RMK AO2 SLP154 T10111072
BKX,2020-02-12 00:56,-96.8169,44.3048,490.28,21.90,19.00,88.40,150.00,9.00,0.00,29.88,1016.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.96,KBKX 120056Z AUTO 15009KT 10SM CLR M06/M07 A2988 RMK AO2 SLP160 T10561072 FZRANO
RCA,2020-02-12 00:56,-103.1036,44.1451,977.43,34.20,14.00,42.96,170.00,3.00,0.00,29.69,1009.60,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,31.20,KRCA 120056Z AUTO 17003KT 10SM FEW110 01/M10 A2969 RMK AO2 SLP096 T00121100 $
YKN,2020-02-12 00:56,-97.3859,42.9167,389.54,35.10,17.10,47.43,160.00,9.00,0.00,29.93,1016.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.37,KYKN 120056Z AUTO 16009KT 10SM CLR 02/M08 A2993 RMK AO2 SLP166 T00171083 FZRANO
MDS,2020-02-12 01:15,-97.0859,44.0160,520.80,21.20,21.20,100.00,180.00,6.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.52,KMDS 120115Z AUTO 18006KT 10SM CLR M06/M06 A2987 RMK AO2
9V9,2020-02-12 01:15,-99.3183,43.7667,509.76,36.00,24.80,63.45,190.00,11.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.52,K9V9 120115Z AUTO 19011KT 10SM CLR 02/M04 A2978 RMK AO2 T00221040
SPF,2020-02-12 01:15,-103.7830,44.4803,1186.17,35.60,12.20,37.53,290.00,14.00,0.00,29.69,M,10.00,19.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.80,KSPF 120115Z AUTO 29014G19KT 10SM 02/M11 A2969 RMK AO2
MDS,2020-02-12 01:35,-97.0859,44.0160,520.80,21.20,21.20,100.00,180.00,7.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.61,KMDS 120135Z AUTO 18007KT 10SM CLR M06/M06 A2986 RMK AO2
9V9,2020-02-12 01:35,-99.3183,43.7667,509.76,35.60,24.40,63.40,190.00,12.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.58,K9V9 120135Z AUTO 19012KT 10SM CLR 02/M04 A2977 RMK AO2 T00201042
